Date,Hour,Year,datetime_est_text,datetime_est_iso,snow_depth_max_mm,precip_total_mm,stream_total_mm,et_mm,solar_mean_wm2,windspeed_mean_ms,windspeed_max_ms,airtemp_mean_oC,airtemp_min_oC,airtemp_max_oC,rh_pct
1/1/2022,0,2022,1/1/2022 0:00,2022-01-01T00:00:00-05:00,164.8,0,0.05,0,0,0,0,0.38,0,0.5,100
1/1/2022,1,2022,1/1/2022 1:00,2022-01-01T01:00:00-05:00,164.8,0,0.05,0,0,0.12,0.2,-0.12,-0.5,0,100
1/1/2022,2,2022,1/1/2022 2:00,2022-01-01T02:00:00-05:00,164.8,0,0.05,0,0,0.28,0.5,0,0,0,100
1/1/2022,3,2022,1/1/2022 3:00,2022-01-01T03:00:00-05:00,158.1,0,0.05,0,0,0.1,0.2,0.12,0,0.5,100
1/1/2022,4,2022,1/1/2022 4:00,2022-01-01T04:00:00-05:00,154.7,0,0.05,0,0,0.07,0.1,0,0,0,100
1/1/2022,5,2022,1/1/2022 5:00,2022-01-01T05:00:00-05:00,154.7,0,0.05,0,0,0,0,0,0,0,100
1/1/2022,6,2022,1/1/2022 6:00,2022-01-01T06:00:00-05:00,159.7,0,0.05,0,0,0.03,0.1,0,0,0,100
1/1/2022,7,2022,1/1/2022 7:00,2022-01-01T07:00:00-05:00,161.4,0,0.05,0,0.3,0.48,0.6,0.5,0.5,0.5,100
1/1/2022,8,2022,1/1/2022 8:00,2022-01-01T08:00:00-05:00,166.5,0.8,0.05,0,3.7,0.58,0.9,1,1,1,100
1/1/2022,9,2022,1/1/2022 9:00,2022-01-01T09:00:00-05:00,164.9,0.9,0.05,0.001,11.4,0.52,0.6,1.5,1.5,1.5,100
1/1/2022,10,2022,1/1/2022 10:00,2022-01-01T10:00:00-05:00,164.9,0.4,0.05,0.002,20.1,0.48,0.6,2.25,2,2.5,100
1/1/2022,11,2022,1/1/2022 11:00,2022-01-01T11:00:00-05:00,164.9,0.5,0.05,0.002,14.8,0.4,0.7,2.12,2,2.5,100
1/1/2022,12,2022,1/1/2022 12:00,2022-01-01T12:00:00-05:00,165.1,0.9,0.06,0.002,21.1,0.78,0.8,2,2,2,100
1/1/2022,13,2022,1/1/2022 13:00,2022-01-01T13:00:00-05:00,161.7,0.8,0.06,0.002,21.2,0.75,0.8,1.88,1.5,2,100
1/1/2022,14,2022,1/1/2022 14:00,2022-01-01T14:00:00-05:00,156.6,0,0.07,0.002,20.6,0.58,0.6,2,2,2,100
1/1/2022,15,2022,1/1/2022 15:00,2022-01-01T15:00:00-05:00,156.6,0,0.07,0.001,12.4,0.78,0.8,2,2,2,100
1/1/2022,16,2022,1/1/2022 16:00,2022-01-01T16:00:00-05:00,156.6,0,0.08,0,1.7,0.8,0.9,1.88,1.5,2,100
1/1/2022,17,2022,1/1/2022 17:00,2022-01-01T17:00:00-05:00,151.6,0,0.08,0,0,0.7,0.8,2,2,2,100
1/1/2022,18,2022,1/1/2022 18:00,2022-01-01T18:00:00-05:00,151.6,0,0.08,0,0,0.75,0.8,2,2,2,100
1/1/2022,19,2022,1/1/2022 19:00,2022-01-01T19:00:00-05:00,149.9,0,0.09,0,0,0.75,0.8,2.25,2,2.5,100
1/1/2022,20,2022,1/1/2022 20:00,2022-01-01T20:00:00-05:00,134.6,0,0.09,0,0,0.5,0.8,2.12,2,2.5,100
1/1/2022,21,2022,1/1/2022 21:00,2022-01-01T21:00:00-05:00,139.7,0,0.09,0,0,0.68,0.8,2.25,2,2.5,100
1/1/2022,22,2022,1/1/2022 22:00,2022-01-01T22:00:00-05:00,134.6,0,0.09,0,0,0.55,0.7,2.25,2,2.5,100
1/1/2022,23,2022,1/1/2022 23:00,2022-01-01T23:00:00-05:00,131.2,0,0.09,0,0,0.52,0.8,2.5,2.5,2.5,100
1/2/2022,0,2022,1/2/2022 0:00,2022-01-02T00:00:00-05:00,126.2,0,0.1,0,0,0.62,0.9,2.25,2,2.5,100
1/2/2022,1,2022,1/2/2022 1:00,2022-01-02T01:00:00-05:00,127.9,0.8,0.1,0,0,0.92,1.2,2.5,2.5,2.5,100
1/2/2022,2,2022,1/2/2022 2:00,2022-01-02T02:00:00-05:00,124.5,0.3,0.11,0,0,0.98,1.1,2.5,2.5,2.5,100
1/2/2022,3,2022,1/2/2022 3:00,2022-01-02T03:00:00-05:00,124.5,0,0.12,0,0,0.92,1,2.5,2.5,2.5,100
1/2/2022,4,2022,1/2/2022 4:00,2022-01-02T04:00:00-05:00,117.7,0.2,0.12,0,0,0.4,0.7,2,2,2,100
1/2/2022,5,2022,1/2/2022 5:00,2022-01-02T05:00:00-05:00,109.2,0.4,0.13,0,0,0.58,0.7,2,2,2,100
1/2/2022,6,2022,1/2/2022 6:00,2022-01-02T06:00:00-05:00,112.6,0,0.13,0,0,0.7,0.8,2,2,2,100
1/2/2022,7,2022,1/2/2022 7:00,2022-01-02T07:00:00-05:00,112.6,0.3,0.14,0,0.6,0.62,0.7,2,2,2,100
1/2/2022,8,2022,1/2/2022 8:00,2022-01-02T08:00:00-05:00,97.4,0.2,0.14,0.001,7.6,0.32,0.5,1.88,1.5,2,100
1/2/2022,9,2022,1/2/2022 9:00,2022-01-02T09:00:00-05:00,102.5,0.9,0.15,0.008,23.5,0.1,0.2,2,2,2,100
1/2/2022,10,2022,1/2/2022 10:00,2022-01-02T10:00:00-05:00,100.8,0.9,0.15,0.012,33,0.07,0.2,1.88,1.5,2,100
1/2/2022,11,2022,1/2/2022 11:00,2022-01-02T11:00:00-05:00,100.7,0.8,0.16,0.008,48.4,0.3,0.5,1.38,1,1.5,100
1/2/2022,12,2022,1/2/2022 12:00,2022-01-02T12:00:00-05:00,102.2,0.8,0.17,0.004,45.7,0.6,1,0.5,0,1,99.5
1/2/2022,13,2022,1/2/2022 13:00,2022-01-02T13:00:00-05:00,90.3,0.1,0.17,0.002,40.6,0.82,1.4,-0.25,-0.5,0,96.3
1/2/2022,14,2022,1/2/2022 14:00,2022-01-02T14:00:00-05:00,97.1,0,0.17,0.003,65.7,1.32,1.7,-0.5,-0.5,-0.5,91.2
1/2/2022,15,2022,1/2/2022 15:00,2022-01-02T15:00:00-05:00,100.5,0,0.17,0.001,38.3,1.32,1.7,-0.62,-1,-0.5,89.7
1/2/2022,16,2022,1/2/2022 16:00,2022-01-02T16:00:00-05:00,102.1,0,0.16,0,9.7,1.25,1.5,-1.62,-2,-1,92.3
1/2/2022,17,2022,1/2/2022 17:00,2022-01-02T17:00:00-05:00,100.3,0,0.16,0,0,0.98,1.1,-3.12,-3.5,-2.5,90.4
1/2/2022,18,2022,1/2/2022 18:00,2022-01-02T18:00:00-05:00,100.2,0,0.15,0,0,1.48,1.7,-4.75,-5.5,-4,88.4
1/2/2022,19,2022,1/2/2022 19:00,2022-01-02T19:00:00-05:00,100,0,0.15,0,0,1.48,1.7,-5.88,-6,-5.5,88.6
1/2/2022,20,2022,1/2/2022 20:00,2022-01-02T20:00:00-05:00,98.1,0,0.14,0,0,1.32,1.5,-6.88,-7,-6.5,90.1
1/2/2022,21,2022,1/2/2022 21:00,2022-01-02T21:00:00-05:00,96.2,0,0.14,0,0,1.1,1.2,-7.75,-8,-7.5,89.1
1/2/2022,22,2022,1/2/2022 22:00,2022-01-02T22:00:00-05:00,97.9,0,0.13,0,0,1.1,1.4,-8.75,-9,-8.5,86.6
1/2/2022,23,2022,1/2/2022 23:00,2022-01-02T23:00:00-05:00,97.6,0,0.13,0,0,1.02,1.2,-9.75,-10,-9.5,87.1
1/3/2022,0,2022,1/3/2022 0:00,2022-01-03T00:00:00-05:00,97.6,0,0.12,0,0,1.5,2,-10.75,-11,-10.5,87.8
1/3/2022,1,2022,1/3/2022 1:00,2022-01-03T01:00:00-05:00,95.7,0,0.12,0,0,1.8,2.1,-11.38,-11.5,-11,84
1/3/2022,2,2022,1/3/2022 2:00,2022-01-03T02:00:00-05:00,97.3,0,0.11,0,0,1.27,1.8,-12,-12,-12,84.3
